name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
Trackwizz,TrackWizz,trackwizz,Bronze Partner,Partners,other,https://www.trackwizz.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a444c332-788b-45ac-97e3-1b2744f0c5db-Trackwizz.png,,unsourced,,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Regtech company providing AML, KYC and regulatory compliance software to banks, NBFCs, asset managers and capital market firms.",AML transaction monitoring and alerting;KYC and customer risk categorisation;FATCA and CRS regulatory reporting;Sanctions and PEP screening,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d63
TransBnk,,transbnk,Bronze Partner,Partners,infra,https://transbnk.co.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/215a9626-ddb7-4d34-ac63-90a21d212716-transbnk-website-logo.png,"Corporate Banking Infrastructure for a Connected Financial Ecosystem. Enable payments, collections, treasury, and banking operations with TBX.",apify:apify/website-content-crawler,meta-description,https://transbnk.co.in/,2026-08-12T13:30:52Z,,,cloud infrastructure;treasury and cash management;collections and recovery,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Transaction banking platform providing escrow, collections and structured banking workflows as APIs for lenders and enterprises.",Digital escrow account management;Automated collections and settlement;Co-lending fund flow orchestration;Transaction banking APIs for NBFCs,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3a6
Transunion CIBIL,TransUnion CIBIL,transunion-cibil,Credit Insights Partner,Partners,other,https://www.transunioncibil.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ffcdc14c-b79e-468b-993f-aa37b61b11b8-TransUnionCIBIL.png,Segmented Score for Unlocking Rural Credit Potential,apify:apify/website-content-crawler,homepage-body-text,https://www.transunioncibil.com/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","India's leading credit information bureau, providing credit scores, credit reports and risk analytics to lenders and consumers.",Credit scoring for loan approval;Portfolio risk monitoring for lenders;Fraud detection via identity checks;Consumer credit report access and dispute resolution,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d64
Treelife,,treelife,Exhibitor,Exhibitors,other,https://treelife.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6e474924-3dce-4b9d-987e-3777ad948bca-treelife-website-logo.png,"We simplify complex legal and financial challenges by offering a range of services, including Virtual CFO, Legal Support, Tax & Regulatory, and Global Expansion assistance.",direct-meta-description,,https://treelife.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AML and compliance,phrase-match:whatTheyDo,direct-meta-description,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d65
Tripgain,,tripgain,Exhibitor,Exhibitors,other,https://tripgain.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/4c79442c-7fcc-4b6e-97eb-c5f1d1df8cb1-tripgain-website-logo.png,"TripGain’s AI Copilot handles booking, management, support, and expenses through natural conversation; saving time, cutting costs, and delighting employees. Works natively in Teams, WhatsApp, Slack.",direct-meta-description,,https://tripgain.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,customer communication;AI and automation;expense management,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d66
True Balance,,true-balance,Silver Partner,Partners,lending,https://www.truebalance.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c7804d1d-e82c-4e51-8477-2aa885182dd9-TrueBalance.png,"Looking for an instant loan? True Balance offers instant personal loans from ₹5,000 to ₹2,00,000 with credit-assessed approval and easy EMIs. Apply online for funds in minutes.",apify:apify/website-content-crawler,meta-description,https://www.truebalance.io/,2026-08-12T13:30:52Z,,,digital lending,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Digital lending app serving India's underserved and first-time borrowers with small-ticket personal loans and financial services.,Small-ticket instant personal loans;Credit access for new-to-credit borrowers;Mobile recharge and bill payment;Alternative data underwriting for thin-file users,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f39d
Truecaller,,truecaller,Registration Partner,Partners,other,https://business.truecaller.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/85936596-a5cc-4511-8349-4257b7514c2c-Truecaller.png,Caller identification and spam-blocking platform,curated-public-facts,,,earlier-in-this-session,,,caller identity;fraud/spam detection,phrase-match:whatTheyDo,,,,,Caller identification and spam-blocking platform that also provides verified business calling and identity verification services.,Verified business caller identity for banks;Spam and scam call protection;Mobile-number based identity verification;Fraud reduction in collections calling,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f363
Turtlefin,,turtlefin,Exhibitor,Exhibitors,other,https://www.turtlefin.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/042f9373-442e-4083-ae9d-2b96b12feb19-Turtlefin.png,We are an insurance technology (insurtech) company. Our products and platforms help intermediaries digitize insurance sales and services making sure that the end consumer gets a modern experience.,apify:apify/website-content-crawler,meta-description,https://www.turtlefin.com/,2026-08-12T13:30:52Z,,,insurance distribution,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d67
UIDAI,,uidai,Supporter,Supporters,regtech,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2cc24abe-475d-48b6-a0da-9204be2db223-uidai-website-logo.png,"India's Unique Identification Authority, the statutory body that issues Aadhaar identity numbers and operates the associated authentication system.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",identity verification;KYC and onboarding,curated-public-facts,,2026-08-12T13:32:27Z,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d68
UK FCDO,,uk-fcdo,Exhibitor,Exhibitors,other,https://www.gov.uk/world/organisations/british-high-commission-new-delhi,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/89b33e06-482c-4db0-8477-169342cf7d8e-uk-fcdo-website-logo.png,The British High Commission in India maintains and develops relations between the UK and India and Bhutan.,apify:apify/website-content-crawler,homepage-body-text,https://www.gov.uk/world/organisations/british-high-commission-new-delhi,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d69
Unify Technologies,,unify-technologies,Exhibitor,Exhibitors,infra,https://www.unifytech.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/18bd54bf-21d5-4e14-afbb-fb1c291019b2-Unify.png,Unify: Your partner for digital transformation. We engineer high-quality software solutions and help reinvent your business digitally. Start with us today.,direct-meta-description,,https://www.unifytech.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d6a
Union Bank of India,,union-bank-of-india,Gold Partner,Partners,banking,https://www.unionbankofindia.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/0df0666f-25a0-4fe7-a0a0-e294d73cdd38-UnionBankofIndia.png,"Union Bank of India offers Net Banking, Personal Accounts, Loans, Insurance, and other banking solutions to cater to all your diverse financial needs.",apify:apify/website-content-crawler,meta-description,https://www.unionbankofindia.bank.in/,2026-08-12T13:30:52Z,,,digital lending;insurance distribution,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Large Indian public sector bank providing retail, corporate, MSME and international banking services.",Retail and corporate lending;MSME credit and working capital;Digital banking and UPI services;Trade finance and forex,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f382
Unlimit,,unlimit,Gold Partner,Partners,payments,https://www.in.unlimit.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/bd45b497-63ab-4d2a-82f7-b48833838870-Unlimit.png,"Unlimit empowers businesses in India to accept a variety of digital payments, including credit cards, debit cards, net banking, QR, UPI, wallets, and more.",direct-meta-description,,https://www.in.unlimit.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,UPI payments,phrase-match:whatTheyDo,,,,,"Global fintech providing payment processing, banking-as-a-service and card issuing across multiple regions.",Global online payment acceptance;Banking-as-a-service accounts and IBANs;Card issuing for fintech programmes;Cross-border merchant settlement,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f37c
Utimaco,,utimaco,Exhibitor,Exhibitors,other,https://utimaco.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/78e6e5b8-d830-4fe5-982f-59e9d0b80939-utimaco-website-logo.png,The Better Choice for Trust in the Digital Society,apify:apify/website-content-crawler,meta-description,https://utimaco.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d6b
Vakrangee,,vakrangee,Bronze Partner,Partners,other,https://vakrangee.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/903d531c-bcf6-4c6d-863b-641597c053e8-Vakrangee.png,"Through our ‘one stop shop’ outlets, we are making BFSI, ATM, E-commerce and logistics, that is all basic necessities accessible to the Indian citizens at their doorstep.",apify:apify/website-content-crawler,homepage-body-text,https://vakrangee.in/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Operator of a nationwide franchise network of Vakrangee Kendra outlets delivering banking, insurance, e-governance and e-commerce services in rural India.",Assisted banking in rural and semi-urban areas;E-governance service delivery points;Insurance and ATM services through franchisees;Last-mile financial inclusion distribution,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3ac
